"full_name","neo","diameter","albedo","epoch","e","a","i","om","w","ma","ad","n","tp","per","pha"
"       (2004 XN29)",Y,,,2460600.5,0.7037,2.422,2.36,319.65,37.32,109.87,4.13,0.2615,2460180.31,1.38e+03,Y
"       (2005 AV27)",Y,,,2460600.5,0.6475,2.263,5.89,67.57,139.48,279.72,3.73,0.2896,2460877.75,1.24e+03,Y
"       (2005 DD)",Y,,,2460600.5,0.5681,1.934,7.32,157.14,252.32,150.59,3.03,0.3664,2460189.46,983,Y
"       (2005 EA)",Y,,,2460600.5,0.6394,1.301,14.06,346.87,298.89,26.69,2.13,0.6639,2460560.30,542,Y
"       (2005 EO33)",Y,,,2453441.5,0.5729,1.968,4.61,289.74,158.48,22.48,3.10,0.3569,2453378.52,1.01e+03,Y
"       (2005 FE3)",Y,,,2460600.5,0.5316,2.117,13.11,90.53,145.17,113.65,3.24,0.3201,2460245.45,1.12e+03,Y
"       (2005 GU)",Y,,,2460600.5,0.6146,1.552,25.05,26.88,275.80,2.74,2.51,0.5099,2460595.13,706,Y
"       (2005 GJ8)",Y,,,2460600.5,0.5511,1.766,3.39,252.56,214.84,142.64,2.74,0.4198,2460260.74,857,Y
"       (2005 GY8)",Y,,,2460600.5,0.6739,2.046,2.83,179.60,103.51,213.87,3.43,0.3367,2461034.49,1.07e+03,Y
"       (2005 GD60)",Y,,,2460600.5,0.3743,1.33,9.90,199.05,100.10,208.51,1.83,0.6426,2460836.25,560,Y
"       (2005 GH81)",Y,,,2460600.5,0.5444,1.947,11.72,19.59,118.54,84.20,3.01,0.3629,2460368.47,992,Y
"       (2005 JU1)",Y,,,2460600.5,0.6863,2.336,6.07,32.96,269.55,142.53,3.94,0.2761,2460084.27,1.3e+03,Y
"       (2005 JU81)",Y,,,2460600.5,0.2774,1.116,17.29,56.31,72.51,240.24,1.43,0.8359,2460743.77,431,Y
"       (2005 KJ10)",Y,,,2460600.5,0.5795,1.883,8.17,81.15,233.99,161.09,2.97,0.3814,2460178.12,944,Y
